gene_id	color	description
Tb927.3.1450	blue	"CorA-like Mg2  transporter protein, putative"
Tb927.3.1490	turquoise	"leucine-rich repeat protein (LRRP), putative"
Tb927.3.1500	turquoise	"variant surface glycoprotein (VSG)-related, putative"
Tb927.3.1510	turquoise	"variant surface glycoprotein (VSG)-related, putative"
Tb927.3.1525	red	hypothetical protein
Tb927.3.1530	purple	"CorA-like Mg2  transporter protein, putative"
Tb927.3.1540	red	"CAAX amino terminal protease, putative"
Tb927.3.1550	red	"Rab3 GTPase-activating protein catalytic subunit, putative"
Tb927.3.1560	pink	TRF-Interacting Factor 2
Tb927.3.1570	pink	Lapatinib-binding protein kinase 3
Tb927.3.1580	tan	"hypothetical protein, conserved"
Tb927.3.1590	darkorange	mitochondrial RNA binding complex 1 subunit
Tb927.3.1600	purple	Mitochondrial import inner membrane translocase subunit 10
Tb927.3.1610	green	"CMGC/CLK family protein kinase, putative"
Tb927.3.1620	grey60	"ER-golgi trafficking TRAPP I complex 85 kDa subunit, putative"
Tb927.3.1630	orange	"casein kinase 1, putative"
Tb927.3.1660	red	SUMO-interacting motif-containing protein
Tb927.3.1670	magenta	"hypothetical protein, conserved"
Tb927.3.1680	pink	Eukaryotic translation initiation factor 3 subunit F
Tb927.3.1690	brown	"Mitochondrial ATP synthase subunit, putative"
Tb927.3.1700	midnightblue	"diacylglycerol acyltransferase, putative"
Tb927.3.1710	black	mitochondrial ribosomal protein l24
Tb927.3.1720	magenta	"hypothetical protein, conserved"
Tb927.3.1730	black	"hypothetical protein, conserved"
Tb927.3.1740	darkturquoise	"hypothetical protein, conserved"
Tb927.3.1750	blue	Mad2-like HORMA domain containing protein
Tb927.3.1760	midnightblue	"chaperone protein DnaJ, putative"
Tb927.3.1770	magenta	"leucine-rich repeat protein (LRRP), putative"
Tb927.3.1780	yellow	U6 snRNA-associated Sm-like protein LSm8p
Tb927.3.1790	midnightblue	"pyruvate dehydrogenase E1 beta subunit, putative"
Tb927.3.1800	grey60	"hypothetical protein, conserved"
Tb927.3.1810	pink	"hypothetical protein, conserved"
Tb927.3.1820	salmon	mitochondrial RNA binding complex 1 subunit
Tb927.3.1830	tan	"hypothetical protein, conserved"
Tb927.3.1840	black	"3-oxo-5-alpha-steroid 4-dehydrogenase, putative"
Tb927.3.1850	black	"CMGC/MAPK protein kinase, putative"
Tb927.3.1860	red	"ATP-grasp domain containing protein, putative"
Tb927.3.1870	greenyellow	"CHAP domain containing protein, putative"
Tb927.3.1880	greenyellow	"hypothetical protein, conserved"
Tb927.3.1890	black	"cytochrome c oxidase assembly protein, putative"
Tb927.3.1900	yellow	"conserved protein, unknown function"
Tb927.3.1910	brown	"Histone RNA hairpin-binding protein RNA-binding domain containing protein, putative"
Tb927.3.1920	lightcyan	General negative regulator of transcription subunit 5
Tb927.3.1930	lightgreen	pre-mrna-processing factor 17
Tb927.3.1940	purple	"TLP18.3, Psb32 and MOLO-1 founding proteins of phosphatase, putative"
Tb927.3.1955	black	Vacuolar protein sorting-associated protein 55 homolog
Tb927.3.1960	pink	"hypothetical protein, conserved"
Tb927.3.1970	green	"phosphopantothenoylcysteine synthetase, putative"
Tb927.3.1980	green	"hypothetical protein, conserved"
Tb927.3.1990	darkturquoise	"Tetratricopeptide repeat, putative"
Tb927.3.2000	blue	"RNA-binding protein, putative"
Tb927.3.2010	magenta	"hypothetical protein, conserved"
Tb927.3.2020	greenyellow	"kinesin, putative"
Tb927.3.2040	greenyellow	"kinesin, putative"
Tb927.3.2050	greenyellow	Minicircle replication factor 172
Tb927.3.2060	midnightblue	"STE20-like serine/threonine-protein kinase, putative"
Tb927.3.2070	royalblue	"hypothetical protein, conserved"
Tb927.3.2080	black	"hypothetical protein, conserved"
Tb927.3.2090	salmon	"Xaa-Pro aminopeptidase, putative"
Tb927.3.2100	darkturquoise	"hypothetical protein, conserved"
Tb927.3.2110	salmon	Mitochondrial import inner membrane translocase subunit TIM50
Tb927.3.2120	blue	"hypothetical protein, conserved"
Tb927.3.2130	midnightblue	"RNA pseudouridylate synthase, putative"
Tb927.3.2140	red	"transcription activator, putative"
Tb927.3.2150	lightyellow	"protein phosphatase 2C, putative"
Tb927.3.2160	blue	"Rieske-like [2Fe-2S] domain containing protein, putative"
Tb927.3.2170	salmon	"translation elongation factor EF-2, putative"
Tb927.3.2180	brown	"Mitochondrial ATP synthase subunit, putative"
Tb927.3.2190	turquoise	Capping enzyme RNA triphosphatase 1
Tb927.3.2200	brown	"TPR repeat, putative"
Tb927.3.2210	blue	"KIF-1 binding protein C terminal, putative"
Tb927.3.2220	brown	eukaryotic translation initiation factor 3 subunit j
Tb927.3.2230	lightgreen	"succinyl-CoA synthetase alpha subunit, putative"
Tb927.3.2240	purple	"BRO1-like domain containing protein, putative"
Tb927.3.2270	brown	"hypothetical protein, conserved"
Tb927.3.2280	blue	"vacuolar sorting protein 33 , putative"
Tb927.3.2290	yellow	"chaperone protein DnaJ, putative"
Tb927.3.2300	green	"DNL zinc finger, putative"
Tb927.3.2310	yellow	parkin coregulated gene protein
Tb927.3.2320	red	"COP9 signalosome complex subunit 2, putative"
Tb927.3.2330	red	kinetoplastid kinetochore protein 17
Tb927.3.2360	turquoise	"hypothetical protein, conserved"
Tb927.3.2370	black	"hypothetical protein, conserved"
Tb927.3.2380	pink	"hypothetical protein, conserved"
Tb927.3.2390	lightyellow	"hypothetical protein, conserved"
Tb927.3.2400	tan	"palmitoyl acyltransferase 10, putative"
Tb927.3.2410	black	Peroxisome biogenesis factor 10
Tb927.3.2420	brown	"Microsomal signal peptidase 12 kDa subunit (SPC12), putative"
Tb927.3.2430	lightgreen	"Alsin, putative"
Tb927.3.2440	black	AGC essential kinase 1
Tb927.3.2450	lightgreen	"hypothetical protein, conserved"
Tb927.3.2460	turquoise	"hypothetical protein, conserved"
Tb927.3.2470	magenta	Pumilio homology domain family member 8
Tb927.3.2475	tan	hypothetical protein
Tb927.3.2477	darkgreen	hypothetical protein
Tb927.3.2480	midnightblue	"Arv1-like family, putative"
Tb927.3.2490	greenyellow	"hypothetical protein, conserved"
Tb927.3.2500	lightyellow	"Trypanosomal VSG domain containing protein, putative"
Tb927.3.2590	blue	hypothetical protein
Tb927.3.2600	royalblue	"ATP-dependent DEAD/H RNA helicase, putative"
Tb927.3.2610	turquoise	GPI inositol deacylase 2
Tb927.3.2620	blue	"hypothetical protein, conserved"
Tb927.3.2630	lightgreen	"hypothetical protein, conserved"
Tb927.3.2640	red	"hypothetical protein, conserved"
Tb927.3.2650	midnightblue	"cytochrome c oxidase copper chaperone, putative"
Tb927.3.2660	yellow	"TatD related DNase, putative"
Tb927.3.2670	blue	"hypothetical protein, conserved"
Tb927.3.2680	blue	"Ubiquitin-like domain containing protein, putative"
Tb927.3.2690	royalblue	"AGC/RSK family serine/threonine kinase, putative"
Tb927.3.2700	blue	"hypothetical protein, conserved"
Tb927.3.2710	lightgreen	6-phosphofructo-2-kinase 2
Tb927.3.2720	darkturquoise	hypothetical protein
Tb927.3.2730	greenyellow	SUMO-interacting motif-containing protein
Tb927.3.2740	turquoise	"hypothetical protein, conserved"
Tb927.3.2750	brown	"hypothetical protein, conserved"
Tb927.3.2760	greenyellow	"hypothetical protein, conserved"
Tb927.3.2780	grey60	"hypothetical protein, conserved"
Tb927.3.2790	greenyellow	"leucine-rich repeat protein (LRRP), putative"
Tb927.3.2810	grey60	"hypothetical protein, conserved"
Tb927.3.2820	tan	"TFIIF-stimulated CTD phosphatase, putative"
Tb927.3.2830	tan	"brix domain containing protein, putative"
Tb927.3.2840	brown	"inorganic pyrophosphatase, putative"
Tb927.3.2850	brown	"Got1/Sft2-like family, putative"
Tb927.3.2860	brown	"hypothetical protein, conserved"
Tb927.3.2870	midnightblue	"multicopper oxidase, putative"
Tb927.3.2880	brown	"Mitochondrial ATP synthase subunit, putative"
Tb927.3.2890	brown	"radial spoke protein RSP10, putative"
Tb927.3.2900	pink	eukaryotic translation initiation factor 2 subunit alpha
Tb927.3.2910	brown	"hypothetical protein, conserved"
Tb927.3.2920	midnightblue	"hypothetical protein, conserved"
Tb927.3.2930	tan	"RNA-binding protein RBP6, putative"
Tb927.3.2940	brown	"hypothetical protein, conserved"
Tb927.3.2950	darkorange	ribonuclease inhibitor- like protein
Tb927.3.2960	turquoise	inosine-adenosine-guanosine-nucleosidehydrolase
Tb927.3.2970	blue	"hypothetical protein, conserved"
Tb927.3.2980	green	mitochondrial carrier protein
Tb927.3.2990	turquoise	"hypothetical protein, conserved"
Tb927.3.3000	red	Putative intraflagellar transport protein C3
Tb927.3.3010	turquoise	"hypothetical protein, conserved"
Tb927.3.3020	lightyellow	"actin-like protein, putative"
Tb927.3.3030	magenta	"phosphatidylcholine transfer protein, putative"
Tb927.3.3040	green	"Right handed beta helix region, putative"
Tb927.3.3050	royalblue	kinetoplast ribosomal PPR-repeat containing protein 20
Tb927.3.3060	yellow	"hypothetical protein, conserved"
Tb927.3.3070	magenta	"3', 5'-cyclic nucleotide phosphodiesterase, putative"
Tb927.3.3080	magenta	"Serine/threonine-protein kinase NEK6, putative"
Tb927.3.3090	grey60	"helicase, putative"
Tb927.3.3100	brown	"peptidyl-prolyl cis-trans isomerase NIMA-interacting 4, putative"
Tb927.3.3110	red	"Condensin complex subunit 3, putative"
Tb927.3.3120	greenyellow	"hypothetical protein, conserved"
Tb927.3.3130	salmon	Present in the outer mitochondrial membrane proteome 24
Tb927.3.3140	cyan	"hypothetical protein, conserved"
Tb927.3.3150	yellow	"hypothetical protein, conserved"
Tb927.3.3160	purple	Nuclear poly(A) polymerase 1
Tb927.3.3170	tan	SUMO-interacting motif-containing protein
Tb927.3.3180	orange	Nucleoporin NUP98
Tb927.3.3190	purple	"Serine/threonine-protein kinase NEK7, putative"
Tb927.3.3200	tan	"Domain of unknown function (DUF4586), putative"
Tb927.3.3210	cyan	hypothetical protein
Tb927.3.3220	salmon	"RNA polymerase-associated protein CTR9, putative"
Tb927.3.3230	blue	"NOL1/NOP2/sun family, putative"
Tb927.3.3240	brown	"hypothetical protein, conserved"
Tb927.3.3250	turquoise	"hypothetical protein, conserved"
Tb927.3.3260	brown	"hypothetical protein, conserved"
Tb927.3.3270	midnightblue	"ATP-dependent 6-phosphofructokinase, glycosomal"
Tb927.3.3280	yellow	"vacuolar protein sorting-associated protein 4, putative"
Tb927.3.3290	yellow	"protein kinase, putative"
Tb927.3.3300	salmon	Flagellum attachment zone protein 19
Tb927.3.3310	purple	"60S ribosomal protein L13, putative"
Tb927.3.3320	purple	"60S ribosomal protein L13, putative"
Tb927.3.3330	midnightblue	"heat shock protein 20, putative"
Tb927.3.3340	pink	"3', 5'-cyclic nucleotide phosphodiesterase, putative"
Tb927.3.3350	greenyellow	"hypothetical protein, conserved"
Tb927.3.3360	red	"acyltransferase, putative"
Tb927.3.3370	turquoise	"hypothetical protein, conserved"
Tb927.3.3380	tan	"TFIIF-stimulated CTD phosphatase, putative"
Tb927.3.3390	blue	"kinesin, putative"
Tb927.3.3410	salmon	"aspartyl aminopeptidase, putative"
Tb927.3.3440	yellow	"phytanoyl-CoA dioxygenase (PhyH), putative"
Tb927.3.3450	yellow	"ADP-ribosylation factor-like protein 3, putative"
Tb927.3.3460	turquoise	"succinate dehydrogenase flavoprotein subunit, putative"
Tb927.3.3470	blue	"cytochrome b5, putative"
Tb927.3.3480	green	"U2 small nuclear ribonucleoprotein B, putative"
Tb927.3.3490	yellow	High mobility group protein TDP1
Tb927.3.3500	red	"hypothetical protein, conserved"
Tb927.3.3510	grey60	"hypothetical protein, conserved"
Tb927.3.3530	tan	"hypothetical protein, conserved"
Tb927.3.3540	turquoise	Nucleoporin NUP53b
Tb927.3.3550	darkorange	"hypothetical protein, conserved"
Tb927.3.3560	yellow	"U-box domain containing protein, putative"
Tb927.3.3570	purple	"hypothetical protein, conserved"
Tb927.3.3580	lightcyan	"heat shock protein 90, putative"
Tb927.3.3590	grey60	"U3 small nucleolar ribonucleoprotein protein MPP10, putative"
Tb927.3.3600	yellow	hypothetical protein
Tb927.3.3610	lightcyan	"peroxisomal targeting signal 2 receptor, putative"
Tb927.3.3620	turquoise	SUMO-interacting motif-containing protein
Tb927.3.3630	lightyellow	"Elongation factor Ts, mitochondrial, putative"
Tb927.3.3640	yellow	bardet-biedl syndrome 7 protein
Tb927.3.3650	greenyellow	"hypothetical protein, conserved"
Tb927.3.3660	turquoise	"NADH-ubiquinone oxidoreductase complex I subunit, putative"
Tb927.3.3670	darkgrey	Triple RNA binding domain protein 3
Tb927.3.3680	green	"hypothetical protein, conserved"
Tb927.3.3690	salmon	"flagellar radial spoke protein-like, putative"
Tb927.3.3700	midnightblue	hypothetical protein
Tb927.3.3710	orange	"Scavenger mRNA decapping enzyme C-term binding, putative"
Tb927.3.3720	red	"Golgi vesicular membrane trafficking protein, putative"
Tb927.3.3730	turquoise	"ABC transporter, putative"
Tb927.3.3740	salmon	"Zinc-finger double-stranded RNA-binding, putative"
Tb927.3.3750	black	"paraflagellar rod component, putative"
Tb927.3.3770	red	"paraflagellar rod component, putative"
Tb927.3.3810	yellow	"Etoposide-induced protein 2.4 (EI24), putative"
Tb927.3.3820	darkred	"hypothetical protein, conserved"
Tb927.3.3830	yellow	"hypothetical protein, conserved"
Tb927.3.3850	lightcyan	COPII coat assembly protein sec16
Tb927.3.3860	yellow	"triacylglycerol lipase, putative"
Tb927.3.3870	salmon	"lipase domain protein, putative"
Tb927.3.3880	brown	"hypothetical protein, conserved"
Tb927.3.3890	pink	"hypothetical protein, conserved"
Tb927.3.3900	black	"carnitine O-palmitoyltransferase II, putative"
Tb927.3.3910	green	DNA-directed RNA polymerase III subunit RPC6
Tb927.3.3920	purple	"Aurora kinase 2, putative"
Tb927.3.3930	yellow	RNA-binding protein
Tb927.3.3940	black	"RNA-binding protein, putative"
Tb927.3.3950	lightcyan	"hypothetical protein, conserved"
Tb927.3.3960	midnightblue	Double RNA binding domain protein 6A
Tb927.3.3970	white	"Cell growth-regulating nucleolar protein, putative"
Tb927.3.3980	green	"hypothetical protein, conserved"
Tb927.3.3990	salmon	KREPB6
Tb927.3.4000	yellow	"clathrin coat assembly protein ap19, putative"
Tb927.3.4010	black	hypothetical protein
Tb927.3.4020	darkgrey	"phosphatidylinositol 4-kinase alpha, putative"
Tb927.3.4030	darkorange	"hypothetical protein, conserved"
Tb927.3.4040	grey60	"Ankyrin repeats (3 copies), putative"
Tb927.3.4050	cyan	"hypothetical protein, conserved"
Tb927.3.4060	grey60	asparagine synthetase domain-containing protein 1
Tb927.3.4070	turquoise	"Pyruvate transporter, putative"
Tb927.3.4080	midnightblue	"Pyruvate transporter, putative"
Tb927.3.4090	purple	"Pyruvate transporter, putative"
Tb927.3.4100	turquoise	"Pyruvate transporter, putative"
Tb927.3.4110	turquoise	"Pyruvate transporter, putative"
Tb927.3.4120	green	"hypothetical protein, conserved"
Tb927.3.4130	green	"hypothetical protein, conserved"
Tb927.3.4140	blue	"hypothetical protein, conserved"
Tb927.3.4150	blue	"hypothetical protein, conserved"
Tb927.3.4160	black	"XPC-binding domain/UBA/TS-N domain containing protein, putative"
Tb927.3.4170	blue	CRK9-associated protein
Tb927.3.4180	turquoise	hypothetical protein
Tb927.3.4190	lightcyan	"endosomal integral membrane protein, putative"
Tb927.3.4200	turquoise	"Integral membrane protein S linking to the trans Golgi network, putative"
Tb927.3.4210	lightcyan	"hypothetical protein, conserved"
Tb927.3.4220	salmon	"Zn-finger domain protein, putative"
Tb927.3.4230	lightgreen	"serine peptidase, clan SB, family S8-like protein"
Tb927.3.4240	black	"thioredoxin, putative"
Tb927.3.4250	black	"hypothetical protein, conserved"
Tb927.3.4260	pink	Acetyl-CoA hydrolase
Tb927.3.4270	black	"hypothetical protein, conserved"
Tb927.3.4280	lightgreen	"mismatch repair protein MSH5, putative"
Tb927.3.4340	blue	"diphthamide synthesis protein, putative"
Tb927.3.4350	greenyellow	"twin BRCT domain containing protein, putative"
Tb927.3.4360	black	"40S ribosomal protein S15A, putative"
Tb927.3.4380	red	"sorting assembly machinery 50 kDa subunit, putative"
Tb927.3.4390	red	dihydrolipoamide dehydrogenase
Tb927.3.4400	blue	"basal body component, putative"
Tb927.3.4410	blue	"pre-RNA processing PIH1/Nop17, putative"
Tb927.3.4420	blue	"hypothetical protein, conserved"
Tb927.3.4430	cyan	"hypothetical protein, conserved"
Tb927.3.4440	blue	"hypothetical protein, conserved"
Tb927.3.4450	darkturquoise	"hypothetical protein, conserved"
Tb927.3.4460	turquoise	"hypothetical protein, conserved"
Tb927.3.4470	pink	"hypothetical protein, conserved"
Tb927.3.4480	turquoise	"hypothetical protein, conserved"
Tb927.3.4490	red	"protein farnesyltransferase alpha subunit, putative"
Tb927.3.4500	black	"Fumarate hydratase class I, cytosolic"
Tb927.3.4510	darkgrey	"hypothetical protein, conserved"
Tb927.3.4520	brown	"hypothetical protein, conserved"
Tb927.3.4530	turquoise	"hypothetical protein, conserved"
Tb927.3.4540	blue	"NOL1/NOP2/sun family, putative"
Tb927.3.4550	greenyellow	kinetoplast ribosomal PPR-repeat containing protein 6
Tb927.3.4560	lightgreen	"5'-AMP-activated protein kinase catalytic subunit alpha, putative"
Tb927.3.4570	red	"N-acetylglucosamyl transferase component GPI1, putative"
Tb927.3.4580	lightcyan	"hypothetical protein, conserved"
Tb927.3.4590	pink	"hypothetical protein, conserved"
Tb927.3.4600	darkred	"hypothetical protein, conserved"
Tb927.3.4610	lightcyan	"Right handed beta helix region, putative"
Tb927.3.4620	yellow	"AAA domain containing protein, putative"
Tb927.3.4630	darkgrey	"UDP-glucose:glycoprotein glucosyltransferase, putative"
Tb927.3.4640	turquoise	"VIT family, putative"
Tb927.3.4650	pink	"C-8 sterol isomerase, putative"
Tb927.3.4660	turquoise	"WD domain, G-beta repeat, putative"
Tb927.3.4670	black	"cdc2-related kinase 10, putative"
Tb927.3.4680	brown	"RAB GDP dissociation inhibitor alpha, putative"
Tb927.3.4690	turquoise	"DTW domain containing protein, putative"
Tb927.3.4710	darkturquoise	Flagellum attachment zone protein 23
Tb927.3.4720	turquoise	dynamin-1-like protein
Tb927.3.4760	blue	dynamin-1-like protein
Tb927.3.4800	tan	"hypothetical protein, conserved"
Tb927.3.4820	brown	"acyltransferase, putative"
Tb927.3.4830	turquoise	hypothetical protein
Tb927.3.4840	darkorange	"ubiquitin carboxyl-terminal hydrolase, putative"
Tb927.3.4850	yellow	"enoyl-CoA hydratase, mitochondrial precursor, putative"
Tb927.3.4880	brown	"nucleosome assembly protein (NAP), putative"
Tb927.3.4890	yellow	"ubiquinone biosynthesis protein COQ7 homolog, putative"
Tb927.3.4900	royalblue	"tRNA isopentenyltransferase, putative"
Tb927.3.4910	brown	"signal peptide peptidase, putative"
Tb927.3.4920	grey60	"LETM1 and EF-hand domain-containing protein 1, putative"
Tb927.3.4930	green	"hypothetical protein, conserved"
Tb927.3.4940	green	"5-histidylcysteine sulfoxide synthase, putative"
Tb927.3.4950	cyan	"hypothetical protein, conserved"
Tb927.3.4960	lightcyan	"kinesin, putative"
Tb927.3.4970	darkorange	"hypothetical protein, conserved"
Tb927.3.4990	green	"oxidoreductase, putative"
Tb927.3.5000	green	"hypothetical protein, conserved"
Tb927.3.5010	yellow	"hypothetical protein, conserved"
Tb927.3.5020	greenyellow	Flagellar Member 6
Tb927.3.5030	lightgreen	KU70 protein
Tb927.3.5040	green	"hypothetical protein, conserved"
Tb927.3.5050	brown	60S ribosomal protein L4
Tb927.3.5060	blue	"Ankyrin repeats (many copies)/Ankyrin repeats (3 copies), putative"
Tb927.3.5070	salmon	"hypothetical protein, conserved"
Tb927.3.5080	cyan	"PSP1 C-terminal conserved region, putative"
Tb927.3.5090	purple	"tryparedoxin 2, putative"
Tb927.3.5100	salmon	tfiih basal transcription factor complex helicase xpb subunit
Tb927.3.5110	greenyellow	"hypothetical protein, conserved"
Tb927.3.5120	grey	"Ankyrin repeats (3 copies), putative"
Tb927.3.5130	lightyellow	"exonuclease, putative"
Tb927.3.5140	grey60	"exonuclease, putative"
Tb927.3.5150	blue	"exonuclease, putative"
Tb927.3.5160	greenyellow	Basal body protein
Tb927.3.5170	cyan	mediator of rna polymerase ii transcription subunit 3
Tb927.3.5180	blue	ADF/Cofilin
Tb927.3.5190	white	"hypothetical protein, conserved"
Tb927.3.5200	tan	"hypothetical protein, conserved"
Tb927.3.5210	darkturquoise	"hypothetical protein, conserved"
Tb927.3.5220	pink	"hypothetical protein, conserved"
Tb927.3.5230	salmon	"DNA repair protein, putative"
Tb927.3.5240	darkred	kinetoplast ribosomal PPR-repeat containing protein 8
Tb927.3.5250	pink	Zinc finger CCCH domain-containing protein 8
Tb927.3.5260	green	"hypothetical protein, conserved"
Tb927.3.5270	purple	"DNA-directed RNA polymerases II subunit, putative"
Tb927.3.5280	blue	"spliceosome-associated protein 49, putative"
Tb927.3.5290	greenyellow	"hypothetical protein, conserved"
Tb927.3.5300	turquoise	"hypothetical protein, conserved"
Tb927.3.5310	pink	paraflagellar rod protein
Tb927.3.5320	brown	UBX domain-containing protein
Tb927.3.5330	red	centaurin beta 5
Tb927.3.5340	turquoise	"Hsc70-interacting protein (Hip), putative"
Tb927.3.5350	pink	"hypothetical protein, conserved"
Tb927.3.5360	turquoise	"FHA domain containing protein, putative"
Tb927.3.5370	tan	"hypothetical protein, conserved"
Tb927.3.5380	blue	"Tubulin-tyrosine ligase family, putative"
Tb927.3.5390	pink	"Ring finger domain containing protein, putative"
Tb927.3.5400	royalblue	"serine/threonine protein kinase RIO1, putative"
Tb927.3.5410	black	"hypothetical protein, conserved"
Tb927.3.5420	darkred	protein transport protein Sec24
Tb927.3.5430	brown	"hypothetical protein, conserved"
Tb927.3.5440	pink	"SNF2 DNA repair protein, putative"
Tb927.3.5450	greenyellow	Basal body protein
Tb927.3.5460	yellow	"RNA-binding protein, putative"
Tb927.3.5470	brown	"hypothetical protein, conserved"
Tb927.3.5480	purple	"hypothetical protein, conserved"
Tb927.3.5490	magenta	Putative intraflagellar transport protein B2
Tb927.3.5500	turquoise	"DNA-directed RNA polymerase II subunit 3, putative"
Tb927.3.5510	blue	"hypothetical protein, conserved"
Tb927.3.5520	red	26S proteasome regulatory non-ATPase subunit
Tb927.3.5530	lightcyan	Tb-292 membrane associated protein
Tb927.3.5540	pink	"dynein intermediate chain WDRD34, putative"
Tb927.3.5550	turquoise	intraflagellar transport protein 27
Tb927.3.5560	purple	"hypothetical protein, conserved"
Tb927.3.5570	blue	"syntaxin, putative"
Tb927.3.5580	midnightblue	tryptophanyl-tRNA synthetase
Tb927.3.5590	brown	"hypothetical protein, conserved"
Tb927.3.5600	magenta	"hypothetical protein, conserved"
Tb927.3.5610	brown	Mitochondrial ribosomal protein L3
Tb927.3.5620	greenyellow	Facilitates chromatin transcription complex subunit spt16
Tb927.3.5630	yellow	"3,2-trans-enoyl-CoA isomerase, mitochondrial precursor, putative"
Tb927.3.5640	black	"nuclear transcription factor, putative"
Tb927.3.5650	darkgreen	"STE group serine/threonine-protein kinase, putative"
Tb927.3.5660	blue	"UDP-GlcNAc:alpha3-D-mannoside beta-1,2-N-acetylglucosaminyltransferase I"
Tb927.3.5680	brown	"variant surface glycoprotein (VSG)-related, putative"
Tb927.3.5690	yellow	"hypothetical protein, conserved"
Tb927.3.570	cyan	"expression site-associated gene 2 (ESAG2) protein, putative"
Tb927.3.5780	yellow	hypothetical protein
Tb927.3.580	turquoise	"leucine-rich repeat protein (LRRP), putative"
Tb927.3.585	blue	hypothetical protein
Tb927.3.590	turquoise	"adenosine transporter, putative"
Tb927.3.600	turquoise	hypothetical protein
Tb927.3.610	brown	"N-acetyltransferase complex ARD1 subunit, putative"
Tb927.3.620	magenta	"ATP-dependent DEAD/H RNA helicase, putative"
Tb927.3.630	brown	"hypothetical protein, conserved"
Tb927.3.640	midnightblue	"hypothetical protein, conserved"
Tb927.3.660	green	"hypothetical protein, conserved"
Tb927.3.670	magenta	hypothetical protein
Tb927.3.680	darkred	"cytochrome P450, putative"
Tb927.3.690	darkturquoise	"CMGC/RCK protein kinase, putative"
Tb927.3.700	pink	"hypothetical protein, conserved"
Tb927.3.710	darkgreen	"RING-variant domain containing protein, putative"
Tb927.3.720	salmon	zinc finger protein 3
Tb927.3.730	magenta	"hypothetical protein, conserved"
Tb927.3.740	salmon	"ZFP family member, putative"
Tb927.3.750	black	"SET domain containing protein, putative"
Tb927.3.760	blue	"hypothetical protein, conserved"
Tb927.3.770	yellow	"Mitochondrial SSU ribosomal protein, putative"
Tb927.3.780	cyan	proteasome alpha 7 subunit
Tb927.3.790	green	"zinc finger CCCH domain-containing protein 6, putative"
Tb927.3.800	midnightblue	"Vacuolar iron transporter 1, putative"
Tb927.3.810	turquoise	"hypothetical protein, conserved"
Tb927.3.820	blue	"LSU ribosomal protein, mitochondrial, putative"
Tb927.3.830	darkred	"flap endonuclease-1 (FEN-1), putative"
Tb927.3.840	turquoise	"hypothetical protein, conserved"
Tb927.3.850	turquoise	"hypothetical protein, conserved"
Tb927.3.860	brown	"Acyl carrier protein, mitochondrial"
Tb927.3.870	red	"Histone RNA hairpin-binding protein RNA-binding domain containing protein, putative"
Tb927.3.880	yellow	"Ankyrin repeats (3 copies), putative"
Tb927.3.890	pink	"hypothetical protein, conserved"
Tb927.3.900	turquoise	"PUB domain containing protein, putative"
Tb927.3.910	magenta	tubulin gamma chain
Tb927.3.920	red	"hypothetical protein, conserved"
Tb927.3.930	greenyellow	"dynein heavy chain, putative"
Tb927.3.940	green	"Complex 1 protein (LYR family), putative"
Tb927.3.945	brown	hypothetical protein
Tb927.3.950	magenta	"2OG-Fe(II) oxygenase superfamily, putative"
Tb927.3.960	turquoise	"protein transport protein Sec61 gamma subunit, putative"
Tb927.3.970	midnightblue	"Mitochondrial SSU ribosomal protein, putative"
Tb927.3.980	purple	"hypothetical protein, conserved"
Tb927.3.990	lightcyan	"hypothetical protein, conserved"
Tb927.4.1000	black	"hypothetical protein, conserved"
Tb927.4.1020	lightyellow	"serine-palmitoyl-CoA transferase, putative"
Tb927.4.1030	green	"Protein of unknown function (DUF501), putative"
Tb927.4.1040	darkgreen	"hypothetical protein, conserved"
Tb927.4.1050	turquoise	inositol-pentakisphosphate 2-kinase
Tb927.4.1060	lightgreen	"hypothetical protein, conserved"
Tb927.4.1070	purple	Mitochondrial ribosomal protein L13
Tb927.4.1080	green	"V-type ATPase, A subunit, putative"
Tb927.4.1090	cyan	"endosomal integral membrane protein, putative"
Tb927.4.1100	midnightblue	"ribosomal protein L21E (60S), putative"
Tb927.4.1110	turquoise	"hypothetical protein, conserved"
Tb927.4.1120	grey60	"hypothetical protein, conserved"
Tb927.4.1130	turquoise	"Complex 1 protein (LYR family), putative"
Tb927.4.1140	grey	"phosphatidylinositol 4-kinase, putative"
Tb927.4.1150	tan	"hypothetical protein, conserved"
Tb927.4.1160	lightgreen	"hypothetical protein, conserved"
Tb927.4.1170	white	"ankyrin, putative"
Tb927.4.1180	darkgreen	"Programmed cell death protein 2, C-terminal putative domain containing protein, putative"
Tb927.4.1190	turquoise	"LicD family, putative"
Tb927.4.120	lightyellow	hypothetical protein
Tb927.4.1200	pink	"expression site-associated gene 1 (ESAG1) protein, putative"
Tb927.4.1220	lightyellow	"leucine-rich repeat protein (LRRP), putative"
Tb927.4.1230	turquoise	hypothetical protein
Tb927.4.1240	green	hypothetical protein
Tb927.4.1250	magenta	"peroxisome biogenesis factor 1, putative"
Tb927.4.1260	turquoise	"hypothetical protein, conserved"
Tb927.4.1270	green	"ruvB-like DNA helicase, putative"
Tb927.4.1280	grey	"Tetratricopeptide repeat, putative"
Tb927.4.1290	green	"hypothetical protein, conserved"
Tb927.4.1300	brown	"amidinotransferase, putative"
